Techstack,Links
"DevOps, Jenkins, iOS",https://example.com/devops-jenkins-ios-portfolio
"Core Data, DevOps, Express.js",https://example.com/coredata-devops-express.js-portfolio
"Frontend, React Native, Swift",https://example.com/frontend-reactnative-swift-portfolio
"Express.js, GraphQL, TensorFlow",https://example.com/express.js-graphql-tensorflow-portfolio
"ARKit, Angular, MongoDB",https://example.com/arkit-angular-mongodb-portfolio
"Full-stack, SQL Server, iOS",https://example.com/full-stack-sqlserver-ios-portfolio
"MySQL, React, WordPress",https://example.com/mysql-react-wordpress-portfolio
"Android TV, Machine Learning, Room Persistence",https://example.com/androidtv-machinelearning-roompersistence-portfolio
"Oracle, Room Persistence, Vue.js",https://example.com/oracle-roompersistence-vue.js-portfolio
"Backend, Machine Learning, Room Persistence",https://example.com/backend-machinelearning-roompersistence-portfolio
"ARKit, JavaScript, MySQL",https://example.com/arkit-javascript-mysql-portfolio
".NET, TypeScript, iOS",https://example.com/.net-typescript-ios-portfolio
"Full-stack, Node.js, React",https://example.com/full-stack-node.js-react-portfolio
"Cross-platform, Docker, Java",https://example.com/cross-platform-docker-java-portfolio
"JavaScript, Magento, iOS",https://example.com/javascript-magento-ios-portfolio
"Android NDK, MySQL, TypeScript",https://example.com/androidndk-mysql-typescript-portfolio
"Core Data, Node.js, iOS",https://example.com/coredata-node.js-ios-portfolio
"Docker, GraphQL, Node.js",https://example.com/docker-graphql-node.js-portfolio
"DevOps, Express.js, Machine Learning",https://example.com/devops-express.js-machinelearning-portfolio
"Android NDK, Node.js, Room Persistence",https://example.com/androidndk-node.js-roompersistence-portfolio
"ARKit, Android TV, Node.js",https://example.com/arkit-androidtv-node.js-portfolio
"Angular, Express.js, Magento",https://example.com/angular-express.js-magento-portfolio
"Backend, Java, React",https://example.com/backend-java-react-portfolio
"Android, DevOps, Kotlin",https://example.com/android-devops-kotlin-portfolio
".NET, Core Data, SQL Server",https://example.com/.net-coredata-sqlserver-portfolio
"Core Data, TensorFlow, TypeScript",https://example.com/coredata-tensorflow-typescript-portfolio
"Backend, Express.js, Vue.js",https://example.com/backend-express.js-vue.js-portfolio
"Django, Room Persistence, iOS",https://example.com/django-roompersistence-ios-portfolio
".NET, Java, Swift",https://example.com/.net-java-swift-portfolio
"Android TV, Express.js, Ruby on Rails",https://example.com/androidtv-express.js-rubyonrails-portfolio
"Angular, SQL Server, WordPress",https://example.com/angular-sqlserver-wordpress-portfolio
"Cross-platform, Full-stack, Room Persistence",https://example.com/cross-platform-full-stack-roompersistence-portfolio
"Core Data, DevOps, Flutter",https://example.com/coredata-devops-flutter-portfolio
"Machine Learning, SQL Server, TypeScript",https://example.com/machinelearning-sqlserver-typescript-portfolio
"Docker, Java, Ruby on Rails",https://example.com/docker-java-rubyonrails-portfolio
"Android, Android NDK, Flutter",https://example.com/android-androidndk-flutter-portfolio
"Express.js, Oracle, Vue.js",https://example.com/express.js-oracle-vue.js-portfolio
"Cross-platform, React, Xamarin",https://example.com/cross-platform-react-xamarin-portfolio
"Angular, Frontend, PostgreSQL",https://example.com/angular-frontend-postgresql-portfolio
"Android, Backend, Oracle",https://example.com/android-backend-oracle-portfolio
"Core Data, Kotlin, Oracle",https://example.com/coredata-kotlin-oracle-portfolio
"Angular, PostgreSQL, WordPress",https://example.com/angular-postgresql-wordpress-portfolio
"Node.js, PHP, SQL Server",https://example.com/node.js-php-sqlserver-portfolio
"Firebase, Spring Boot, Swift",https://example.com/firebase-springboot-swift-portfolio
"Android NDK, Angular, PostgreSQL",https://example.com/androidndk-angular-postgresql-portfolio
"ARKit, Frontend, Spring Boot",https://example.com/arkit-frontend-springboot-portfolio
"Express.js, MongoDB, Vue.js",https://example.com/express.js-mongodb-vue.js-portfolio
"Core Data, GraphQL, Node.js",https://example.com/coredata-graphql-node.js-portfolio
"Android, Backend, TypeScript",https://example.com/android-backend-typescript-portfolio
"DevOps, Node.js, Python",https://example.com/devops-node.js-python-portfolio
"Java, Kotlin, React Native",https://example.com/java-kotlin-reactnative-portfolio
"Machine Learning, React, Room Persistence",https://example.com/machinelearning-react-roompersistence-portfolio
"GraphQL, React, WordPress",https://example.com/graphql-react-wordpress-portfolio
"Android TV, Docker, iOS",https://example.com/androidtv-docker-ios-portfolio
"Android NDK, Frontend, React Native",https://example.com/androidndk-frontend-reactnative-portfolio
".NET, Azure, MongoDB",https://example.com/.net-azure-mongodb-portfolio
"Android NDK, Django, JavaScript",https://example.com/androidndk-django-javascript-portfolio
"Core Data, Machine Learning, TypeScript",https://example.com/coredata-machinelearning-typescript-portfolio
"ARKit, Android NDK, DevOps",https://example.com/arkit-androidndk-devops-portfolio
"Kotlin, Xamarin, iOS",https://example.com/kotlin-xamarin-ios-portfolio
"PHP, Room Persistence, Vue.js",https://example.com/php-roompersistence-vue.js-portfolio
"Azure, Flutter, iOS",https://example.com/azure-flutter-ios-portfolio
"ARKit, Magento, Spring Boot",https://example.com/arkit-magento-springboot-portfolio
"Ruby on Rails, Swift, TypeScript",https://example.com/rubyonrails-swift-typescript-portfolio
"Django, Docker, Java",https://example.com/django-docker-java-portfolio
"Angular, Frontend, TypeScript",https://example.com/angular-frontend-typescript-portfolio
"Azure, Express.js, Python",https://example.com/azure-express.js-python-portfolio
"Firebase, Jenkins, React",https://example.com/firebase-jenkins-react-portfolio
"Core Data, MySQL, SQL Server",https://example.com/coredata-mysql-sqlserver-portfolio
"Core Data, Frontend, JavaScript",https://example.com/coredata-frontend-javascript-portfolio
"ARKit, MongoDB, Swift",https://example.com/arkit-mongodb-swift-portfolio
"JavaScript, Jenkins, Ruby on Rails",https://example.com/javascript-jenkins-rubyonrails-portfolio
"Express.js, Firebase, Full-stack",https://example.com/express.js-firebase-full-stack-portfolio
".NET, Flutter, SQL Server",https://example.com/.net-flutter-sqlserver-portfolio
"Cross-platform, Express.js, Spring Boot",https://example.com/cross-platform-express.js-springboot-portfolio
"Jenkins, Oracle, Swift",https://example.com/jenkins-oracle-swift-portfolio
"Core Data, Magento, TypeScript",https://example.com/coredata-magento-typescript-portfolio
"Firebase, Flutter, Oracle",https://example.com/firebase-flutter-oracle-portfolio
"Express.js, Node.js, Room Persistence",https://example.com/express.js-node.js-roompersistence-portfolio
"Firebase, Jenkins, Spring Boot",https://example.com/firebase-jenkins-springboot-portfolio
"Frontend, PostgreSQL, Room Persistence",https://example.com/frontend-postgresql-roompersistence-portfolio
".NET, Machine Learning, TensorFlow",https://example.com/.net-machinelearning-tensorflow-portfolio
"Django, Frontend, JavaScript",https://example.com/django-frontend-javascript-portfolio
"Frontend, Oracle, Ruby on Rails",https://example.com/frontend-oracle-rubyonrails-portfolio
"ARKit, JavaScript, React Native",https://example.com/arkit-javascript-reactnative-portfolio
"Azure, Cross-platform, Firebase",https://example.com/azure-cross-platform-firebase-portfolio
"MySQL, Ruby on Rails, Xamarin",https://example.com/mysql-rubyonrails-xamarin-portfolio
"Firebase, Frontend, React",https://example.com/firebase-frontend-react-portfolio
"Android TV, React, iOS",https://example.com/androidtv-react-ios-portfolio
"ARKit, SQL Server, TypeScript",https://example.com/arkit-sqlserver-typescript-portfolio
"Android NDK, Flutter, Ruby on Rails",https://example.com/androidndk-flutter-rubyonrails-portfolio
".NET, Ruby on Rails, TensorFlow",https://example.com/.net-rubyonrails-tensorflow-portfolio
"Core Data, Frontend, Full-stack",https://example.com/coredata-frontend-full-stack-portfolio
